t,x,y,vx,vy,V
53.1177,8.34648,2.26747,-8.6766,-3.01602,9.18585
53.4178,9.65263,11.3937,6.21976,-4.35128,7.59072
53.4178,18.517,15.5551,6.39546,-6.30383,8.97999
53.4178,14.8451,11.0651,-6.25775,-6.22643,8.82767
53.4178,1.46622,7.33475,-6.9205,0.0388846,6.92061
53.4178,2.33936,1.98028,3.04879,-1.06251,3.22863
53.4178,1.53012,13.0616,-4.89509,10.8713,11.9225
53.4178,10.5709,16.6394,2.75002,-6.42493,6.98873
53.4178,9.77366,6.62973,5.90163,-3.75531,6.99511
53.4178,6.86455,15.8895,-4.82231,5.51516,7.32609
53.4178,18.682,1.22312,-0.182743,-6.64567,6.64818
53.4178,4.10057,4.54412,-5.57498,6.36954,8.46472
53.4178,5.09934,11.6845,-8.28418,-8.38774,11.7891
53.4178,14.1743,5.25368,-9.82905,-2.93006,10.2565
53.4178,2.7483,9.19577,6.98792,-0.984877,7.05698
53.4178,18.747,12.8433,-5.88218,-8.54431,10.3733
53.4178,14.3003,13.7162,17.3039,3.93769,17.7463
53.4178,5.95939,1.9448,-7.50587,4.69198,8.85171
53.4178,2.65509,18.1958,5.10136,-0.612987,5.13805
53.4178,4.90495,7.01822,-14.053,-1.78108,14.1654
53.4178,14.9575,18.1116,1.18566,-15.8936,15.9377
53.4178,8.7569,4.69551,5.1999,1.56443,5.43014
53.4178,8.53008,17.6599,-1.65741,-10.4897,10.6198
53.4178,17.0178,8.93394,-11.4457,-10.4781,15.5176
53.4178,12.0228,6.02619,6.17591,3.91981,7.31483
53.4178,8.90258,2.24135,-7.93016,1.85923,8.14519
53.7179,9.22842,11.6905,6.21976,-4.35128,7.59072
53.7179,18.0808,15.9851,6.39546,-6.30383,8.97999
53.7179,15.2719,11.4898,-6.25775,-6.22643,8.82767
53.7179,1.75881,7.03119,-3.73107,5.39637,6.56062
53.7179,2.13143,2.05275,3.04879,-1.06251,3.22863
53.7179,1.86398,12.3202,-4.89509,10.8713,11.9225
53.7179,10.4204,17.0542,1.4444,-5.59718,5.78054
53.7179,9.45309,7.04244,4.67555,-6.09881,7.6848
53.7179,7.19344,15.5133,-4.82231,5.51516,7.32609
53.7179,18.6945,1.67637,-0.182743,-6.64567,6.64818
53.7179,4.4808,4.1097,-5.57498,6.36954,8.46472
53.7179,5.66434,12.2565,-8.28418,-8.38774,11.7891
53.7179,14.8446,5.45352,-9.82905,-2.93006,10.2565
53.7179,2.45111,9.56384,3.79848,-6.34237,7.39284
53.7179,18.7356,13.426,5.88191,-8.54449,10.3733
53.7179,13.1201,13.4476,17.3039,3.93769,17.7463
53.7179,6.47132,1.6248,-7.50587,4.69198,8.85171
53.7179,2.30716,18.2376,5.10136,-0.612987,5.13805
53.7179,5.8634,7.1397,-14.053,-1.78108,14.1654
53.7179,14.8767,18.8169,1.18488,15.8936,15.9377
53.7179,8.32033,4.43223,6.42598,3.90793,7.52098
53.7179,8.6061,18.3987,-0.351795,-11.3174,11.3229
53.7179,17.7985,9.64858,-11.4457,-10.4781,15.5176
53.7179,11.6016,5.75884,6.17591,3.91981,7.31483
53.7179,9.44344,2.11454,-7.93016,1.85923,8.14519
54.018,8.80422,11.9872,6.21976,-4.35128,7.59072
54.018,17.6447,16.415,6.39546,-6.30383,8.97999
54.018,15.6986,11.9144,-6.25775,-6.22643,8.82767
54.018,2.01328,6.66314,-3.73107,5.39637,6.56062
54.018,1.92349,2.12521,3.04879,-1.06251,3.22863
54.018,2.1299,12.1282,-2.67585,-7.14009,7.62503
54.018,10.3264,17.4323,-1.65672,-3.08102,3.49821
54.018,9.1342,7.45839,4.67555,-6.09881,7.6848
54.018,7.52234,15.1372,-4.82231,5.51516,7.32609
54.018,18.707,2.12963,-0.182743,-6.64567,6.64818
54.018,4.86103,3.67527,-5.57498,6.36954,8.46472
54.018,6.22935,12.8286,-8.28418,-8.38774,11.7891
54.018,15.515,5.65335,-9.82905,-2.93006,10.2565
54.018,2.25998,9.44695,1.57925,11.669,11.7754
54.018,18.3344,14.0088,5.88191,-8.54449,10.3733
54.018,11.9399,13.1791,17.3039,3.93769,17.7463
54.018,6.98324,1.30479,-7.50587,4.69198,8.85171
54.018,1.95923,18.2794,5.10136,-0.612987,5.13805
54.018,6.82185,7.26117,-14.053,-1.78108,14.1654
54.018,14.7958,17.7329,1.18488,15.8936,15.9377
54.018,7.88206,4.1657,6.42598,3.90793,7.52098
54.018,8.62557,18.7897,2.74949,8.80126,9.22073
54.018,18.5791,10.3632,-11.4457,-10.4781,15.5176
54.018,11.1804,5.4915,6.17591,3.91981,7.31483
54.018,9.98429,1.98774,-7.93016,1.85923,8.14519
54.3181,8.5568,12.2022,-2.45236,-0.34376,2.47634
54.3181,17.2085,16.8449,6.39546,-6.30383,8.97999
54.3181,16.1254,12.3391,-6.25775,-6.22643,8.82767
54.3181,2.26775,6.29509,-3.73107,5.39637,6.56062
54.3181,1.71556,2.19768,3.04879,-1.06251,3.22863
54.3181,2.3124,12.6151,-2.67585,-7.14009,7.62503
54.3181,10.8496,17.3235,-7.88706,1.76042,8.08114
54.3181,9.84737,7.99337,-13.3138,-8.17761,15.6247
54.3181,8.08366,15.1199,-12.1914,-5.85551,13.5247
54.3181,18.7194,2.58288,-0.182743,-6.64567,6.64818
54.3181,5.24126,3.24085,-5.57498,6.36954,8.46472
54.3181,6.38514,13.1236,7.75708,-1.02459,7.82445
54.3181,16.1854,5.85319,-9.82905,-2.93006,10.2565
54.3181,2.15227,8.65109,1.57925,11.669,11.7754
54.3181,17.9333,14.5916,5.88191,-8.54449,10.3733
54.3181,10.7598,12.9105,17.3039,3.93769,17.7463
54.3181,7.49515,1.149,-7.50574,-4.69218,8.85171
54.3181,1.61131,18.3212,5.10136,-0.612987,5.13805
54.3181,6.74825,7.26362,3.93638,0.29772,3.94762
54.3181,14.715,16.6489,1.18488,15.8936,15.9377
54.3181,7.44379,3.89916,6.42598,3.90793,7.52098
54.3181,8.02782,18.5083,8.97982,3.95981,9.81414
54.3181,18.5985,11.0779,11.4457,-10.4782,15.5176
54.3181,10.7591,5.22416,6.17591,3.91981,7.31483
54.3181,10.5252,1.86094,-7.93016,1.85923,8.14519
54.6182,7.61263,11.8562,16.089,6.38552,17.3099
54.6182,16.7723,17.2749,6.39546,-6.30383,8.97999
54.6182,16.0897,13.0443,8.56403,-15.2247,17.4681
54.6182,2.54875,5.71795,-4.43249,10.9033,11.7698
54.6182,1.50762,2.27015,3.04879,-1.06251,3.22863
54.6182,2.4949,13.1021,-2.67585,-7.14009,7.62503
54.6182,11.3875,17.2034,-7.88706,1.76042,8.08114
54.6182,10.7554,8.55111,-13.3138,-8.17761,15.6247
54.6182,8.91515,15.5193,-12.1914,-5.85551,13.5247
54.6182,18.7319,3.03613,-0.182743,-6.64567,6.64818
54.6182,5.06972,2.62023,4.45068,9.75595,10.7232
54.6182,5.85522,13.1941,8.29323,-1.4261,8.41495
54.6182,16.8557,6.05303,-9.82905,-2.93006,10.2565
54.6182,2.01804,8.06433,2.28067,6.16209,6.5706
54.6182,17.5321,15.1743,5.88191,-8.54449,10.3733
54.6182,10.6919,13.0108,-1.77362,-2.39009,2.97628
54.6182,8.00707,1.46902,-7.50574,-4.69218,8.85171
54.6182,1.26338,18.363,5.10136,-0.612987,5.13805
54.6182,6.47977,7.24332,3.93638,0.29772,3.94762
54.6182,14.6342,15.5649,1.18488,15.8936,15.9377
54.6182,7.55729,3.81884,-3.59968,0.521525,3.63726
54.6182,7.41537,18.2382,8.97982,3.95981,9.81414
54.6182,18.2804,11.5119,-3.37613,-1.47988,3.68623
54.6182,10.3379,4.95682,6.17591,3.91981,7.31483
54.6182,11.066,1.73413,-7.93016,1.85923,8.14519
54.9183,6.61822,11.3396,14.5007,7.63786,16.3893
54.9183,16.3002,17.8016,7.06403,-8.10593,10.7521
54.9183,16.2191,13.1354,-9.06883,8.16296,12.2015
54.9183,2.85105,4.97431,-4.43249,10.9033,11.7698
54.9183,1.29968,2.34261,3.04879,-1.06251,3.22863
54.9183,2.6774,13.5891,-2.67585,-7.14009,7.62503
54.9183,11.9254,17.0833,-7.88706,1.76042,8.08114
54.9183,11.6635,9.10884,-13.3138,-8.17761,15.6247
54.9183,9.74664,15.9186,-12.1914,-5.85551,13.5247
54.9183,18.7444,3.48939,-0.182743,-6.64567,6.64818
54.9183,4.76617,1.95485,4.45068,9.75595,10.7232
54.9183,5.1867,13.3724,9.88149,-2.67843,10.2381
